trial,lambda_main,lambda_cross,home_adv,squash_scale,mean_mae,std_mae
170,0.035297037515824525,0.9889827934550506,0.20285021026073966,1.5679494408587733,1.3226439670518189,0.05869821776687504
171,0.03559988178706783,0.9450029411334968,0.20244787964788907,1.522824913469137,1.3226853442987927,0.05900567342155797
189,0.03595781146432867,0.9458727797359746,0.19824730577610652,1.5259491560296983,1.3226990237444667,0.05888868126529512
181,0.033791686990497144,0.9615698573768953,0.1997175153030237,1.8012649209566227,1.3227258213295858,0.05852647150666085
182,0.03264057109046691,0.961554518735785,0.19839299575265282,1.8166368567965145,1.3227383341470538,0.05869330295141248
186,0.03520731945850506,0.914394083910037,0.19915969277396559,1.7223339198825114,1.322749169869123,0.05867969728208325
180,0.03218001518079065,0.9636593264773148,0.19991786196965908,1.777982434244667,1.3227514702853347,0.058880784209086046
162,0.03726424366373687,0.9750809958824227,0.21444417028911206,1.7023947432355586,1.3227765101788087,0.058165742037329896
194,0.03176917018061051,0.9657549936509214,0.1986335378447522,2.016149337598667,1.3227787034511327,0.05845923450557229
191,0.03695593830889685,0.935209255827098,0.18526128960003604,1.5207819822464532,1.3228021953271027,0.0586856391958191
196,0.03365520514484115,0.9699378961200187,0.23737576673877028,1.773985301417263,1.3228056289122132,0.05891138303112101
145,0.03612890622033563,0.9294113566677832,0.2014782537006754,1.3688505980533965,1.3228209285977444,0.05946384465985574
174,0.03347716677531,0.9435280430672295,0.1993789183207049,1.5174384799386234,1.3228220255880676,0.05939150087150916
179,0.03643918921245531,0.9615537813949144,0.19646078315974613,1.7792528524073574,1.3228230662209264,0.058129705033845715
161,0.03792124544897565,0.9857228966579138,0.21346884438289482,1.7345828893373194,1.3228553739896978,0.057894731117605486
133,0.052367691593597415,0.9681799411544086,0.22368445403166987,0.9727987934745389,1.3228666666755573,0.058831808465247944
172,0.03299499111110313,0.9500983830119373,0.1977751006139314,1.5197765716180354,1.322868135873609,0.05942325933542641
168,0.03836194807969978,0.9860998739795157,0.20652335863084642,1.7116907788292866,1.322874012159447,0.057852019146447185
173,0.032381498127795644,0.9451237843067305,0.20180804442231948,1.5397934941655314,1.3228858925857019,0.05953847917337488
155,0.04012979936527711,0.9877544964271673,0.2212839850254216,1.6216988645033503,1.322922804546836,0.05780883447893269
157,0.04120544284071066,0.975430230277837,0.2226807428719569,1.5761278768803997,1.3229501619681563,0.05785536683271604
198,0.02752448716048735,0.9637561056507029,0.23930082697611654,2.320375859549936,1.3229559108030682,0.05927872935877906
193,0.0351236320959497,0.9375511000570266,0.18659362273904634,1.9538028479643046,1.322966601263089,0.05807880610790936
151,0.041891917310840875,0.9264775480999754,0.18455370088504164,1.555352943100917,1.3230234980273643,0.05793994686144562
103,0.04556987173771928,0.9143521344505917,0.21833811520211216,1.4343398770162012,1.3230382472521744,0.05803579084673139
148,0.030571603302529993,0.9023670191493713,0.20428190654483522,1.6785449030789605,1.3230523809451031,0.059770670179472456
156,0.044411756250053586,0.9712752749156726,0.21788130481040124,1.4848410271480919,1.32310602799433,0.0576449269056297
159,0.041646477524335854,0.9893628324783298,0.20518120099624929,1.6557689225768142,1.3231487971969371,0.05740686200026336
185,0.03118103117698076,0.9616203572591818,0.1691074128989803,1.8073177451909277,1.3231726303733684,0.05885685699317474
152,0.04551227151305156,0.9277530495947134,0.1779692368499267,1.3964825459972838,1.3231933613105016,0.05775329024611226
190,0.036058737405438177,0.9508469183755089,0.19875453424905354,2.1788154528333656,1.3233056079249654,0.0574954621802719
158,0.04465662186255827,0.9847804078142497,0.213820595493259,1.5935711236974757,1.3234106591585937,0.057161452698213454
164,0.04280103837208106,0.9844383588378646,0.21396035113105247,1.7391518240161696,1.323477560120622,0.057063680243612636
102,0.050076120710994806,0.9148537171751473,0.2224326136001658,1.400930099022656,1.3234948213009017,0.057504177146489664
166,0.04410156144583237,0.9882998130279906,0.20960333596463762,1.662978555548636,1.3235067083585172,0.057027997313114455
163,0.044213801283022415,0.9745483135855925,0.2120240448059719,1.7385100346192564,1.3236640654414982,0.05691652575261992
106,0.046183623216975576,0.9566836720526604,0.2643205669396096,1.3724166765004964,1.3236868287238297,0.05811321701187533
49,0.036396563918785915,0.6082959364624871,0.17018417146033774,2.4368311947833945,1.3236883040813023,0.057996703243947914
175,0.02977901741503469,0.9484570241257415,0.17499723213242277,1.5218570319795413,1.3237447295973255,0.05984577893299286
177,0.029382492659330954,0.9627308794411585,0.18139935779236654,1.4767027682859237,1.3237801345450944,0.060018420606228785
124,0.06398231223835488,0.9666584558016764,0.22902394700839893,0.9719771865910957,1.3238029504649593,0.05745506078819717
146,0.03402476466659188,0.9271665635598029,0.18428646339877663,1.2254568767510299,1.323857751232247,0.060120403380771084
