match_id,season,round,timestamp,status,home_team,away_team,home_lineup_strength_rating,away_lineup_strength_rating,home_lineup_strength_mv,away_lineup_strength_mv,home_D1_log_mv,home_D1_name,home_D1_rating,home_D2_log_mv,home_D2_name,home_D2_rating,home_D3_log_mv,home_D3_name,home_D3_rating,home_D4_log_mv,home_D4_name,home_D4_rating,home_D5_log_mv,home_D5_name,home_D5_rating,home_F1_log_mv,home_F1_name,home_F1_rating,home_F2_log_mv,home_F2_name,home_F2_rating,home_F3_log_mv,home_F3_name,home_F3_rating,home_G1_log_mv,home_G1_name,home_G1_rating,home_M1_log_mv,home_M1_name,home_M1_rating,home_M2_log_mv,home_M2_name,home_M2_rating,home_M3_log_mv,home_M3_name,home_M3_rating,home_M4_log_mv,home_M4_name,home_M4_rating,home_M5_log_mv,home_M5_name,home_M5_rating,home_M6_log_mv,home_M6_name,home_M6_rating,away_D1_log_mv,away_D1_name,away_D1_rating,away_D2_log_mv,away_D2_name,away_D2_rating,away_D3_log_mv,away_D3_name,away_D3_rating,away_D4_log_mv,away_D4_name,away_D4_rating,away_D5_log_mv,away_D5_name,away_D5_rating,away_F1_log_mv,away_F1_name,away_F1_rating,away_F2_log_mv,away_F2_name,away_F2_rating,away_F3_log_mv,away_F3_name,away_F3_rating,away_G1_log_mv,away_G1_name,away_G1_rating,away_M1_log_mv,away_M1_name,away_M1_rating,away_M2_log_mv,away_M2_name,away_M2_rating,away_M3_log_mv,away_M3_name,away_M3_rating,away_M4_log_mv,away_M4_name,away_M4_rating,away_M5_log_mv,away_M5_name,away_M5_rating,away_M6_log_mv,away_M6_name,away_M6_rating
8684147,2019-2020,30.0,2020-06-19 19:15,Ended,Tottenham Hotspur,Manchester United,7.0002,7.0026,15.5009,16.3689,14.078,S. Aurier,7.05,16.733,D. Sánchez,6.9,15.342,B. Davies,7.04,15.656,E. Dier,7.0,,,,18.078,H. Kane,7.41,,,,,,,13.785,H. Lloris,6.98,,E. Lamela,6.99,16.365,S. Bergwijn,6.98,15.656,H. Winks,6.83,12.578,M. Sissoko,6.74,16.739,H. M. Son,7.09,,,,15.573,V. Lindelöf,6.87,16.186,H. Maguire,7.09,16.056,L. Shaw,6.98,16.86,A. Wan-Bissaka,7.08,,,,15.573,A. Martial,6.97,,,,,,,15.009,D. De Gea,6.81,16.51,D. James,6.76,17.553,S. McTominay,6.91,15.857,Fred,6.94,17.453,M. Rashford,7.0,17.426,B. Fernandes,7.62,,,
8684146,2019-2020,30.0,2020-06-20 11:30,Ended,Watford,Leicester City,6.8484,6.9784,14.3441,15.8578,14.078,A. Masina,6.92,13.641,K. Femenía,6.77,13.665,C. Kabasele,6.8,13.795,C. Dawson,6.84,,,,11.951,T. Deeney,7.05,,,,,,,,B. Foster,6.74,,É. Capoue,6.93,13.561,R. Pereyra,6.67,17.312,I. Sarr,6.94,15.573,A. Doucouré,6.89,15.52,W. Hughes,6.78,,,,16.333,J. Justin,6.72,15.64,Ç. Söyüncü,7.01,,J. Evans,7.0,16.222,B. Chilwell,6.78,,,,13.785,J. Vardy,7.09,,,,,,,12.676,K. Schmeichel,6.86,17.371,H. Barnes,6.93,16.056,W. Ndidi,7.02,,M. Albrighton,6.88,17.453,Y. Tielemans,7.11,17.183,J. Maddison,7.35,,,
8684149,2019-2020,30.0,2020-06-20 14:00,Ended,Brighton & Hove Albion,Arsenal,6.8522,6.9738,14.9444,15.8954,15.464,D. Burn,6.8,10.043,E. M. Schelotto,6.5,15.803,A. Webster,6.93,15.226,L. Dunk,7.01,,,,15.226,N. Maupay,6.81,,,,,,,14.457,M. Ryan,6.79,14.979,P. Groß,7.17,16.44,Y. Bissouma,6.77,,A. Mooy,7.03,16.86,L. Trossard,6.83,,D. Pröpper,6.74,,,,15.672,S. Kolašinac,6.79,,S. Mustafi,7.08,14.771,H. Bellerín,6.82,14.845,R. Holding,6.82,,,,15.703,N. Pépé,7.21,15.483,A. Lacazette,7.18,14.88,P. Aubameyang,7.12,15.817,B. Leno,6.98,18.728,B. Saka,6.89,17.111,M. Guendouzi,6.9,15.944,D. Ceballos,6.94,,,,,,,,,
8684148,2019-2020,30.0,2020-06-20 16:30,Ended,West Ham United,Wolverhampton,6.8674,6.9468,15.239,14.8795,14.403,J. Ngakia,6.42,13.082,A. Cresswell,6.76,18.552,D. Rice,6.9,16.148,I. Diop,6.9,,,,13.494,M. Antonio,6.94,,,,,,,12.468,Ł. Fabiański,6.84,,M. Noble,6.95,14.691,F. Anderson,7.03,16.267,T. Souček,6.77,15.944,P. Fornals,6.78,17.342,J. Bowen,7.23,,,,13.561,W. Boly,7.02,14.152,R. Saiss,7.05,14.152,C. Coady,6.79,,,,,,,17.479,D. Jota,6.98,15.251,R. Jiménez,7.21,,,,,R. Patrício,6.7,13.171,J. Moutinho,7.17,14.691,J. Otto,6.76,14.221,M. Doherty,6.93,16.994,R. Neves,6.96,15.124,L. Dendoncker,6.83,,,
8684151,2019-2020,30.0,2020-06-20 18:45,Ended,Bournemouth,Crystal Palace,6.8819,6.9202,15.3169,13.4805,12.676,S. Cook,7.03,16.613,N. Aké,7.02,13.152,A. Smith,6.74,14.691,J. Stacey,6.82,,,,15.483,C. Wilson,6.86,,,,,,,16.349,A. Ramsdale,6.97,14.152,J. King,6.93,15.817,J. Lerma,6.88,16.213,D. Brooks,6.96,16.907,H. Wilson,6.81,16.433,L. Cook,6.69,,,,12.56,J. Ward,6.79,,G. Cahill,6.98,,S. Dann,6.95,12.874,P. v. Aanholt,6.96,,,,14.457,J. Ayew,6.8,14.286,C. Benteke,7.07,15.251,W. Zaha,6.84,12.972,V. Guaita,7.0,13.494,L. Milivojević,7.08,,J. McArthur,6.79,11.951,C. Kouyaté,6.86,,,,,,,,,
8684155,2019-2020,30.0,2020-06-21 15:15,Ended,Aston Villa,Chelsea,6.8514,7.0709,15.4516,15.3084,14.979,M. Targett,6.92,15.274,T. Mings,6.86,13.528,K. Hause,6.83,17.426,E. Konsa,6.67,,,,17.074,J. Grealish,7.27,13.665,A. E. Ghazi,6.88,15.226,K. Davis,6.6,13.743,Ø. Nyland,6.4,17.111,D. Luiz,6.62,,C. Hourihane,7.22,16.49,J. McGinn,7.08,,,,,,,,,,16.333,A. Rüdiger,7.0,16.077,A. Christensen,7.01,13.911,C. Azpilicueta,7.16,14.221,M. Alonso,7.11,,,,16.167,R. Loftus-Cheek,7.03,13.816,O. Giroud,7.2,13.082,Willian,7.46,15.817,K. Arrizabalaga,6.74,17.183,M. Mount,6.99,15.297,N. Kanté,7.14,16.49,M. Kovačić,6.96,,,,,,,,,
8684156,2019-2020,30.0,2020-06-21 18:00,Ended,Everton,Liverpool,6.8817,7.1671,15.8343,15.7683,15.817,L. Digne,7.31,14.979,M. Holgate,6.91,12.692,S. Coleman,6.82,15.124,M. Keane,6.98,,,,16.601,D. Calvert-Lewin,6.91,17.111,Richarlison,6.92,,,,16.594,J. Pickford,6.8,15.297,A. Gomes,6.52,17.943,A. Gordon,6.92,17.074,A. Iwobi,6.95,14.947,T. Davies,6.65,,,,,,,13.617,J. Milner,7.21,16.739,V. van Dijk,7.36,,J. Matip,7.16,18.092,T. Alexander-Arnold,7.32,,,,16.267,T. Minamino,7.06,15.703,S. Mané,7.28,15.405,R. Firmino,7.23,16.744,Alisson,7.02,14.221,N. Keïta,7.01,16.292,Fabinho,7.0,14.604,J. Henderson,7.19,,,,,,,,,
8684152,2019-2020,30.0,2020-06-22 19:00,Ended,Manchester City,Burnley,7.2152,6.8942,16.5172,14.3118,16.556,O. Zinchenko,7.08,,Fernandinho,7.17,16.186,J. Cancelo,7.22,13.911,N. Otamendi,7.23,,,,,S. Agüero,7.49,15.79,R. Mahrez,7.22,18.146,P. Foden,7.22,16.44,Ederson,6.84,,D. Silva,7.38,18.035,Rodri,7.27,17.074,B. Silva,7.23,,,,,,,,,,12.468,M. Lowton,6.89,13.039,B. Mee,7.03,15.79,J. Tarkowski,7.08,14.557,C. Taylor,6.74,,,,13.611,M. Vydra,6.78,12.644,J. Rodriguez,6.77,,,,15.718,N. Pope,6.95,13.521,J. Cork,6.78,16.013,J. Brownhill,6.92,17.074,D. McNeil,6.94,12.995,A. Westwood,6.96,,,,,,
8684166,2019-2020,31.0,2020-06-23 17:00,Ended,Leicester City,Brighton & Hove Albion,6.9551,6.8774,15.219,15.7178,,J. Evans,7.0,16.222,B. Chilwell,6.79,16.333,J. Justin,6.94,15.64,Ç. Söyüncü,7.01,,,,15.176,K. Iheanacho,7.0,13.785,J. Vardy,7.09,,,,12.676,K. Schmeichel,6.86,15.039,D. Gray,6.75,16.056,W. Ndidi,7.02,14.078,N. Mendy,6.68,17.183,J. Maddison,7.36,,,,,,,15.803,A. Webster,6.93,15.226,L. Dunk,7.02,15.464,D. Burn,6.79,15.803,T. Lamptey,6.92,,,,14.691,A. Connolly,6.8,15.226,N. Maupay,6.83,,,,14.457,M. Ryan,6.79,18.348,A. Mac Allister,6.92,,D. Stephens,6.84,,A. Mooy,7.03,16.44,Y. Bissouma,6.77,,,,,,
8684165,2019-2020,31.0,2020-06-23 19:15,Ended,Tottenham Hotspur,West Ham United,6.9913,6.8564,15.3254,15.2719,14.078,S. Aurier,7.04,16.733,D. Sánchez,6.9,15.342,B. Davies,7.03,15.656,E. Dier,6.99,,,,18.078,H. Kane,7.4,,,,,,,13.785,H. Lloris,6.98,14.809,L. Moura,6.83,12.578,M. Sissoko,6.74,16.739,H. M. Son,7.09,14.286,D. Alli,7.03,16.497,G. Lo Celso,6.87,,,,16.148,I. Diop,6.89,,R. Fredericks,6.81,13.082,A. Cresswell,6.76,14.152,F. Balbuena,6.77,,,,13.494,M. Antonio,6.94,,,,,,,12.468,Ł. Fabiański,6.84,18.552,D. Rice,6.9,16.267,T. Souček,6.78,,M. Noble,6.96,17.342,J. Bowen,7.05,15.944,P. Fornals,6.73,,,
